MatrixSize,Threads,BlockSize,SequentialTime,ThreadsTime,AsyncTime,ThreadsSpeedup,AsyncSpeedup,ThreadsCorrect,AsyncCorrect
100x100,1,8,8209,9548,9770,0.859761,0.840225,YES,YES
100x100,2,8,11944,8985,9925,1.32933,1.20343,YES,YES
100x100,4,8,7727,6440,2606,1.19984,2.96508,YES,YES
100x100,8,8,8901,4199,2431,2.11979,3.66146,YES,YES
100x100,16,8,7969,4136,2717,1.92674,2.93301,YES,YES
200x200,1,16,62146,68908,86240,0.901869,0.720617,YES,YES
200x200,2,16,62084,31461,41986,1.97336,1.47868,YES,YES
200x200,4,16,69774,24644,28531,2.83128,2.44555,YES,YES
200x200,8,16,71216,20029,13786,3.55564,5.16582,YES,YES
200x200,16,16,63832,15872,19229,4.02167,3.31957,YES,YES
500x500,1,32,999094,977656,968613,1.02193,1.03147,YES,YES
500x500,2,32,974166,520319,508125,1.87225,1.91718,YES,YES
500x500,4,32,960753,301611,305981,3.1854,3.13991,YES,YES
500x500,8,32,959690,222700,235815,4.30934,4.06967,YES,YES
500x500,16,32,964283,214471,211217,4.4961,4.56537,YES,YES
